"uri","label","skos_alt_label","skos_pref_label","iao_definition","iao_alternative_term","oio_exact_synonym","oio_synonym","rdf_comment","apollo_label","iao_elucidation","oio_related_synonym","iao_preferred_label","lemma","lemma_nunique","lemma_count","score_max","score_mean","score2","oio_narrow_synonym"
"http://snomed.info/id/785781002","['Fusarium avenaceum (organism)']","['Fusarium herbarum variant avenaceum', 'Fusisporium avenaceum']","['Fusarium avenaceum']","","","","","","","","","","['avenaceum', 'f. avenaceum', 'fusarium']",3,5,72.5491940436168,60.62143676328028,294.73959417420997,""
"http://snomed.info/id/35238009","['Fusarium (organism)']","['Fusarium species', 'Genus Fusarium']","['Fusarium']","","","","","","","","","","['avenaceum', 'f. avenaceum', 'fusarium', 'fusarium specie']",4,7,51.984190734159775,22.160529078044956,158.91669638109474,""
"http://purl.obolibrary.org/obo/UO_0010031","['grain']","","","","","['gr']","","['""An imperial mass unit which is equivalent to 64.798,91 milligrams."" [Wikipedia:Wikipedia]']","","","","","['grain']",1,3,22.238218433187754,22.233469034114687,30.91317456358718,""
"http://purl.obolibrary.org/obo/NCBITaxon_679429","['Fusarium tricinctum species complex']","","","","","","","","","","","","['f. tricinctum']",1,1,27.32883379293109,27.32883379293109,27.32883379293109,""
"http://snomed.info/id/106571002","['Form family Tuberculariaceae (organism)']","['Family: Tuberculariaceae', 'Tuberculariaceae']","['Form family Tuberculariaceae']","","","","","","","","","","['fusarium specie']",1,2,21.112141748230446,20.515186448526336,25.257157184832533,""
"http://purl.obolibrary.org/obo/NCBITaxon_4565","['Triticum aestivum']","","","","","['bread wheat', 'Canadian hard winter wheat', 'common wheat', 'wheat']","","","","","['Triticum aestivum subsp. aestivum', 'Triticum vulgare']","","['wheat']",1,1,25.198555624209664,25.198555624209664,25.198555624209664,""
"http://purl.obolibrary.org/obo/CHEBI_25212","['metabolite']","","","[""Any intermediate or product resulting from metabolism. The term 'metabolite' subsumes the classes commonly known as primary and secondary metabolites.""]","","['metabolite']","","","","","['metabolites', 'primary metabolites', 'secondary metabolites']","","['metabolite']",1,4,16.799318077704637,15.680113754199729,23.76660818200808,""
"http://purl.obolibrary.org/obo/FOODON_00003108","['barley grain (whole, raw)']","","","['Barley is a cultivated grain used as animal fodder, as a source of fermentable material for beer and certain distilled beverages, and as a component of various health foods. It is used in soups and stews, and in barley bread of various cultures. Barley grains are commonly made into malt in a traditional and ancient method of preparation.']","['barley']","['barley']","","","","","","","['barley']",1,1,22.721522602285884,22.721522602285884,22.721522602285884,""
"http://purl.obolibrary.org/obo/GAZ_00002937","['Finland']","","","['A Nordic country situated in the Fennoscandian region of Northern Europe. It has borders with Sweden to the west, Russia to the east, and Norway to the north, while Estonia lies to its south across the Gulf of Finland. The capital city is Helsinki. Finland is divided into six administrative provinces (laani, plural laanit). These are divided into 20 regions (maakunt), 77 subregions (seutukunta) and then into municipalities (kunta).']","['finland']","['Republic of Finland', 'Republiken Finland', 'Suomen tasavalta', 'Suomi {language: Finnish}']","","['LanguaL curation note: US FDA 1995 Code:  FI']","","","","","['Finland']",1,2,12.992138904051206,12.991933466551213,15.994946305893379,""
"http://purl.obolibrary.org/obo/UO_1010031","['grain based unit']","","","","","","","","","","","","['grain']",1,3,11.119109216593877,11.116734517057344,15.45658728179359,""
