"uri","chebi_formula","iao_definition","oio_exact_synonym","oio_related_synonym","label","rdf_comment","oio_broad_synonym","skos_pref_label","iao_preferred_label","skos_alt_label","iao_alternative_term","apollo_label","iao_elucidation","oio_synonym","lemma","lemma_nunique","lemma_count","score_max","score_mean","score2","oio_narrow_synonym"
"http://purl.obolibrary.org/obo/CHEBI_17246","['(C2H4O)nH2']","['A homopolymer macromolecule obtained by polymerisation of vinyl alcohol.']","['poly(1-hydroxyethylene)']","['(C2H4O)n', 'a polyvinyl alcohol', 'poly(vinyl alcohol)', 'polyvinyl alcohol', 'Polyvinyl alcohol', 'PVA']","['poly(vinyl alcohol) macromolecule', 'Polyvinyl Alcohol']","","","","","","","","","","['polyvinyl alcohol']",1,7,22.86965200434703,20.944958327045594,37.54991105414792,""
"http://purl.obolibrary.org/obo/CHEBI_16236","['C2H6O']","['A primary alcohol that is ethane in which one of the hydrogens is substituted by a hydroxy group.']","['ethanol', 'Ethanol', 'ETHANOL']","['alcohol', '[CH2Me(OH)]', '[OEtH]', '1-hydroxyethane', 'Aethanol', 'Aethylalkohol', 'alcohol etilico', 'alcool ethylique', 'Alkohol', 'C2H5OH', 'C2H6O', 'CCO', 'Dehydrated ethanol', 'etanol', 'Ethyl alcohol', 'EtOH', 'hydroxyethane', 'InChI=1S/C2H6O/c1-2-3/h3H,2H2,1H3', 'InChIKey=LFQSCWFLJHTTHZ-UHFFFAOYSA-N', 'Methylcarbinol', 'spiritus vini']","['ethanol', 'Ethanol']","","","","","","","","","","['ethanol']",1,3,25.891275455771527,25.850950231443786,35.94288124417499,""
"http://purl.obolibrary.org/obo/FOODON_03412972","","","","","['food additive']","[""Damion Dooley's note: manysubclasses here are currently originating from LanguaL additives that have not yet been matched to CHEBI ontology terms.  If matches are possible they will be implemented over time, at which point the corresponding FoodOn id's will be deprecated.""]","","","","","","","","","['food additive']",1,3,21.67352537777928,19.435238898476943,27.02254568694484,""
"http://purl.obolibrary.org/obo/PATO_0001536","","[""A molecular quality that inheres in a molecular entity by virtue of the bearer's disposition to dissolve in a liquid.""]","","","['solubility']","","","","","","","","","","['insoluble', 'solubility']",2,5,8.815969826873612,6.482119301555609,21.01057881323116,""
"http://purl.obolibrary.org/obo/PATO_0001538","","[""A solubility quality inhering in a substance by virtue of the bearer's inability of a substance to dissolve in a liquid.""]","['insoluble']","","['insoluble in']","","","","","","","","","","['insoluble']",1,2,12.263426683887232,12.263426683887232,15.098049250332739,""
"http://purl.obolibrary.org/obo/CHEBI_23982","","['Any primary alcohol based on an ethanol skeleton.']","","","['ethanols']","","","","","","","","","","['ethanol']",1,3,9.310801611713067,9.296300195423058,12.92547511572189,""
"http://purl.obolibrary.org/obo/APOLLO_SV_00000476","","['A textual entity that specifies characteristics of some entity.']","","","['description']","","","","","","","['description']","['A textual entity that specifies characteristics of some entity.']","","['description']",1,1,11.5825463994758,11.5825463994758,11.5825463994758,""
"http://purl.obolibrary.org/obo/FOODON_00003194","","['A food product not including meat and animal tissue products (such as gelatin or animal-derived rennet).']","['vegetarian food']","","['vegetarian food product']","","","","","","","","","","['food']",1,2,7.375200790966071,7.336164484457347,9.031877920419051,""
"http://purl.obolibrary.org/obo/CHEBI_50584","","['An aliphatic alcohol in which the aliphatic alkane chain is substituted by a hydroxy group at unspecified position.']","","['alkyl alcohols', 'hydroxyalkane', 'hydroxyalkanes']","['alkyl alcohol']","","","","","","","","","","['ethanol']",1,3,5.745079883495006,5.7361320185866695,7.975455838145241,""
"http://purl.obolibrary.org/obo/CHEBI_53242","","['A macromolecule composed of repeating -CHR-CH2- units.']","","['vinyl polymer', 'vinyl polymers']","['vinyl polymer macromolecule']","","","","","","","","","","['polyvinyl alcohol']",1,7,4.523793334136126,4.143074098619329,7.42766165798546,""
"http://purl.obolibrary.org/obo/IAO_0000318","","['A part of a publication about an investigation that is about a study design execution']","","","['results section']","","","","['results section']","","['results']","","","","['result']",1,1,6.610268243157815,6.610268243157815,6.610268243157815,""
"http://purl.obolibrary.org/obo/ENVO_01001067","","['An impact event during which a meteoroid collides with another astronomical body.']","","","['meterorite impact']","","","","","","","","","","['impact']",1,3,4.179040288564406,4.177800984890491,5.808769245126879,""
